,Unnamed: 0,Stkcd,SP_TTM,EP_TTM,EP_LYR,CashFlowYiled_LYR,CashFlowYiled_TTM,FreeCashFlowYield_TTM,BP_LR,Sales2EV,SaleEarnings_SQ_YoY,Earnings_SQ_YoY,Sales_SQ_YoY,ROE_LR,ROA_LR,jlr,yylr,yysr,Momentum_1M,Momentum_12M,MACrossover,Momentum_24M,CurrentRatio,AssetTurnover,LTD2Equity_LR,PD,BZC
274,274,2410.0,-0.551729872,-0.249746126,-0.332696686,-0.128160921,-0.052656031,-0.044857903,-1.009755286,-0.624427078,0.583729511,0.088856141,0.602302196,-0.090632374,0.545045598,0.020467042,2.06765e-06,-0.051716498,0.532737462,-0.269359605,0.798338485,-1.018118816,2.351895519,0.213247251,-0.656856412,-0.348565971,0.920114385
275,275,2414.0,-0.601555374,-0.456921857,-0.428359245,-0.378238569,-0.277541657,-0.270488391,-0.930549381,-0.71797949,0.098949934,-0.022691517,0.004245615,-0.553744227,-0.44663773,0.066698715,0.047516765,-0.033278588,0.36420148,-0.905357312,0.944032736,-0.566935999,1.178737966,-0.807964629,-0.416801907,-0.552915275,1.04657292
276,276,2415.0,-0.246179151,0.782623363,0.533923814,-0.084951339,0.173740302,0.18181263,-1.049385397,-0.475214878,0.012320263,-0.007025419,0.235371515,1.688423596,2.140318807,0.024310246,-0.000934688,-0.054148037,-0.79347853,-0.38504166,-0.729642388,0.963218683,0.424542654,0.777000827,-0.370235138,-0.132666203,-0.973928227
277,277,2419.0,1.463108676,1.560983258,0.19961917,-0.432382105,0.373867108,0.377253823,0.242991767,2.01694736,0.005354462,0.015408731,-0.305312108,0.141396626,-0.09530502,0.064108062,0.02427455,-0.056407005,-0.248794682,0.703512188,0.154468348,-0.489251655,-0.454272311,1.788370539,-0.595478568,-1.965060554,-0.434706119
278,278,2422.0,-0.145863261,-0.020705595,0.071040461,0.257567918,0.237609666,0.23430385,0.133386637,-0.263488122,-0.00668848,-0.027474447,-0.124030306,-0.1912766,-0.220862565,0.021500815,-0.006283145,-0.056808903,0.001827155,0.178818686,0.27588758,-0.639928926,-0.463672287,-0.479826093,-0.24612567,-0.680025295,-1.532220811
279,279,2428.0,-0.658940113,-0.668956432,-0.726147535,0.032983339,-0.115895934,-0.110365743,-0.941811645,-0.726605265,-0.252172116,-0.233434381,-0.490797243,-1.264821188,-1.454024674,0.021145671,-0.011180454,-0.055656509,-0.279878355,1.385904817,-0.116581942,-0.675509088,-0.297681457,-0.855918854,-0.625774625,0.238648853,0.844884045
280,280,2430.0,-0.075047834,-0.560577206,-0.803294761,-0.10570831,-0.069147924,-0.078481795,0.446874608,0.158383418,-0.211933132,-0.253281494,-0.658996383,-1.119077218,-1.056758888,0.022105478,-0.0046282,-0.056350781,-0.373105803,0.21914597,0.383419918,-0.680223365,-0.287398269,-0.006760525,0.420690246,-0.154413978,0.226051554
281,281,2431.0,-0.439077798,-0.885175012,-0.468990117,-0.258140489,-0.341033345,-0.334257507,-0.600353331,-0.466401196,-0.092215087,-0.112830598,-0.774338194,-0.600736268,-0.719737882,0.09833178,0.152255381,-0.047993996,0.346402621,-0.716975727,-2.474079301,0.370310621,0.001429679,-0.559248314,0.427359255,0.855213658,2.15494574
282,282,2437.0,-0.586815372,-0.176998426,-0.195888939,-0.000344756,-0.053453349,-0.046881483,-0.848992636,-0.555030363,-0.006255687,-0.026979162,-0.142086067,0.978626718,0.640516443,0.029777958,0.011426569,-0.053364403,0.463297307,-2.044241281,-4.503503427,-0.507914233,-0.713621025,-0.480841074,-0.208191488,0.560895748,0.112561513
283,283,2439.0,-0.524039945,-0.243132699,-0.56928151,-0.270828553,-0.003306247,0.003875332,-1.113792581,-0.640069011,-0.020087596,-0.072468561,0.099409741,-0.775773736,-0.782909245,-0.472178949,-0.168101142,-0.045635191,-0.631439444,0.472780918,0.076140539,1.090469221,0.18469541,0.105580447,-0.608126278,1.032777228,1.599479684
