Stkcd,F090101B,F090101C,F090501C,F091101A,F091801B,F091801C,F092101C,F090602C,F091002A,F081002B,F081202B,F081602C,jlr,yylr,yysr,rate1,rate2,rate03,factor_ma,F010101A,F011801A,F011901A,rate,PD,BZC,aa,y
300059,-0.317823741,-0.485967688,-0.679199388,-0.430122686,0.924222459,0.909535586,1.513351695,-0.672268884,-1.246347974,10.157883,9.887078,3.595883,0.020931848,-0.126516548,-0.052241214,-0.72227561,,0.202959831,-0.031362007,-0.308885167,-0.48015302,-0.691992278,-1.82979798,0.039882438,0.061840088,17,1
601216,-0.17127448,-0.496848083,-0.623403663,-0.438408739,0.109342704,-0.19598205,-0.288583063,-0.601256164,-0.677301012,0.090609,0.060939,0.010364,0.022575628,-0.002161557,-0.057041549,-0.032121724,,1.119457969,-0.262562814,-0.332109267,-0.116590525,0.149932298,-1.803827751,0.003447209,0.054799742,18,1
000566,0.144070499,-0.30560703,-0.450182875,-0.295296784,0.06400339,-0.219560455,-0.343301888,-0.447729412,-0.318743259,0.158721,0.247178,0.223796,0.006298588,0.100470476,-0.054882941,0.027770431,1.18192027,1.084186091,0.049554566,-0.124573124,-0.268083292,0.417973141,-1.722822174,-0.166546638,0.039632631,19,1
300070,-0.49126395,0.357140659,-0.429366494,-0.320861063,-0.549196456,-0.073592863,0.105069436,-0.420092226,0.067089213,0.43775,0.452182,0.511749,0.105329447,0.238454293,-0.025483486,0.095422059,0.005022214,-0.351554955,0.002895553,0.287446853,0.57740997,-0.654863396,-1.692514809,-0.010552883,0.041347439,20,1
300251,-0.525478687,-0.383108991,-0.625259103,-0.361363118,-0.192975368,-0.372817975,-0.348292293,-0.618041692,-0.035957698,0.183993,0.051948,0.250579,0.032230259,0.034166059,-0.053543299,0.017467249,,0.107300668,-0.030716724,0.761653722,1.502513128,-0.839978103,-1.68268359,0.033124356,0.049814047,21,1
002727,0.116716044,,,-0.152951217,-0.552080216,,,,0.511507375,0.174189,0.100422,0.201594,0.021713212,-0.00596538,-0.057371283,-0.05758257,,0.271223703,0.03670385,-0.192265263,-0.227421014,-1.007756067,-1.664628821,-0.161504535,0.041127332,22,1
600736,-0.546485356,-0.503819443,-0.426188135,0.179981778,-0.803026914,-0.31549912,0.132297787,-0.417911871,-0.441629448,0.064466,-16.052268,-0.090602,0.026061837,-0.116172046,-0.048130861,,0.566951567,,0.032474804,-0.12037707,-0.523251837,1.532281023,-1.663275687,-0.130091224,0.051525409,23,1
600008,-0.50438723,-0.409263303,-0.517387588,-0.317475459,-0.275088489,-0.225841832,-0.115681575,-0.509596412,-0.473731054,0.019252,-0.073221,0.263376,0.037328376,0.27017057,-0.048538536,-0.033206831,0.539274924,-0.391719567,-0.104591837,-0.347511822,-0.495605548,1.851410634,-1.626829268,-0.273544549,0.044326128,24,1
002204,-0.532052574,-0.711655327,0.074637382,0.084044539,-0.18277567,-0.467791755,-0.006376579,0.085577524,0.243076506,0.005429,-3.651212,-0.132517,0.281657302,0.853242806,0.014566025,0.065,-0.60254372,-0.257897498,-0.111785095,-0.302503342,-0.44557217,-0.30339982,-1.612293144,-0.294083565,0.043853626,25,1
002681,-0.327308679,-0.178547967,-0.41587871,-0.412682207,-0.113982558,-0.118317506,-0.427428286,-0.407547611,0.219457463,1.020657,1.033677,0.596079,0.02343713,-0.000971969,-0.055738115,-0.667505721,,0.751872966,-0.115932203,0.353226059,0.807542368,-0.769218587,-1.611688312,-0.202549156,0.053679186,26,1
